               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10958,            0.066957,            0.062047,             0.45096,                0.15,            0.070559,            0.023217,            0.073524,            0.058719,            0.053898,            0.070213,           0.0033097,           0.0033097
                   1,             0.07839,            0.059112,             0.05155,             0.13115,             0.40989,              0.1467,            0.039601,            0.073607,            0.045801,            0.045104,            0.040147,           0.0065773,           0.0065773
                   2,            0.072986,            0.052969,            0.044771,            0.088427,             0.45806,             0.11048,            0.034672,            0.069237,            0.040841,            0.039696,            0.010015,           0.0097788,           0.0097788
                   3,            0.065021,            0.050796,            0.039639,              0.3272,             0.80764,             0.54881,             0.17887,            0.051563,            0.039432,            0.033728,            0.009703,            0.009703,            0.009703
                   4,            0.057879,             0.04645,            0.034168,             0.57157,             0.70835,             0.66444,             0.26823,             0.05469,            0.037465,            0.028981,            0.009703,            0.009703,            0.009703
                   5,            0.052098,            0.046196,            0.030128,              0.6695,             0.85729,              0.8607,             0.39887,            0.043658,            0.036384,            0.025298,            0.009604,            0.009604,            0.009604
                   6,             0.04931,            0.044421,            0.026546,             0.73142,             0.90383,             0.87504,             0.35354,            0.045837,            0.034873,            0.022446,            0.009505,            0.009505,            0.009505
                   7,            0.045923,            0.042761,            0.023102,             0.91583,             0.96424,             0.97643,             0.51367,            0.032112,            0.033546,            0.019165,            0.009406,            0.009406,            0.009406
                   8,            0.044994,            0.043936,            0.019698,             0.92762,              0.9648,             0.97755,             0.47475,            0.039962,            0.033176,            0.015326,            0.009307,            0.009307,            0.009307
                   9,             0.04312,            0.042946,            0.015754,              0.9245,             0.97173,             0.97154,             0.54013,            0.030865,            0.032406,            0.011601,            0.009208,            0.009208,            0.009208
                  10,            0.041723,            0.041822,            0.012571,             0.91943,             0.96348,             0.96255,             0.48977,            0.036534,            0.032072,           0.0090814,            0.009109,            0.009109,            0.009109
                  11,             0.04112,            0.041516,            0.010356,             0.97701,             0.97837,              0.9809,             0.46082,            0.040019,            0.032408,           0.0065108,             0.00901,             0.00901,             0.00901
